title,author,is_canadian,genre,isbn,date_pulled,uid,rank
Yesteryear: A Novel,Caro Claire Burke,FALSE,Fiction,9781039057xxx,2026-05-15,9781039057xxx_yesteryear__a_novel_caro_claire_burke,1
Project Hail Mary: A Novel,Andy Weir,FALSE,Fiction,9780593135xxx,2026-05-15,9780593135xxx_project_hail_mary__a_novel_andy_weir,2
Our Perfect Storm (Signed Edition),Carley Fortune,TRUE,Fiction,9781037803xxx,2026-05-15,9781037803xxx_our_perfect_storm__signed_edition__carley_fortune,3
The Correspondent: A Novel,Virginia Evans,FALSE,Fiction,9780593798xxx,2026-05-15,9780593798xxx_the_correspondent__a_novel_virginia_evans,4
Theo of Golden: A Novel,Allen Levi,FALSE,Fiction,9781668236xxx,2026-05-15,9781668236xxx_theo_of_golden__a_novel_allen_levi,5
The Things We Never Say: A Novel,Elizabeth Strout,FALSE,Fiction,NA,2026-05-15,noisbn_the_things_we_never_say__a_novel_elizabeth_strout,6
The Last Mandarin (Indie Exclusive Edition): A Novel,"Louise Penny, Mellissa Fung",TRUE,Fiction,9781250463xxx,2026-05-15,9781250463xxx_the_last_mandarin__indie_exclusive_edition___a_novel_louise_penny_,7
A Parade of Horribles,Matt Dinniman,FALSE,Fiction,NA,2026-05-15,noisbn_a_parade_of_horribles_matt_dinniman,8
A False and Fatal Claim: A Lane Winslow Mystery,Iona Whishaw,TRUE,Fiction,9781771514xxx,2026-05-15,9781771514xxx_a_false_and_fatal_claim__a_lane_winslow_mystery_iona_whishaw,9
Dungeon Crawler Carl,Matt Dinniman,FALSE,Fiction,9780593820xxx,2026-05-15,9780593820xxx_dungeon_crawler_carl_matt_dinniman,10
Remarkably Bright Creatures: A Novel,Shelby Van Pelt,FALSE,Fiction,9780063204xxx,2026-05-15,9780063204xxx_remarkably_bright_creatures__a_novel_shelby_van_pelt,11
The New Girl: First Crush: A Graphic Novel (The New Girl #2),Cassandra Calin,TRUE,Juvenile Fiction,9781338762xxx,2026-05-15,9781338762xxx_the_new_girl__first_crush__a_graphic_novel__the_new_girl__2__cassa,12
Dawn on the Coast: A Graphic Novel (The Baby-sitters Club #19),"Arley Nopra, Ann M Martin",TRUE,Juvenile Fiction,9781546135xxx,2026-05-15,9781546135xxx_dawn_on_the_coast__a_graphic_novel__the_baby_sitters_club__19__arl,13
Our Perfect Storm,Carley Fortune,TRUE,Fiction,9781037800xxx,2026-05-15,9781037800xxx_our_perfect_storm_carley_fortune,14
London Falling: A Mysterious Death in a Gilded City and a Family's Search for Truth,Patrick Radden Keefe,FALSE,True Crime,9780385675xxx,2026-05-15,9780385675xxx_london_falling__a_mysterious_death_in_a_gilded_city_and_a_family_s,15
When the Forest Breathes: Renewal and Resilience in the Natural World,Suzanne Simard,TRUE,Political Science,9780735241xxx,2026-05-15,9780735241xxx_when_the_forest_breathes__renewal_and_resilience_in_the_natural_wo,16
Famesick: A Memoir,Lena Dunham,FALSE,Biography & Autobiography,9780385695xxx,2026-05-15,9780385695xxx_famesick__a_memoir_lena_dunham,17
Strangers: A Memoir of Marriage,Belle Burden,FALSE,Biography & Autobiography,9780593733xxx,2026-05-15,9780593733xxx_strangers__a_memoir_of_marriage_belle_burden,18
Platform Decay,Martha Wells,FALSE,Fiction,9781250827xxx,2026-05-15,9781250827xxx_platform_decay_martha_wells,19
The Book of Birds: A Field Guide,"Robert Macfarlane, Jackie Morris",FALSE,Nature,9781487007xxx,2026-05-15,9781487007xxx_the_book_of_birds__a_field_guide_robert_macfarlane__jackie_morris,20
Wildwood: A Novel,Elinor Florence,TRUE,Fiction,9781668227xxx,2026-05-15,9781668227xxx_wildwood__a_novel_elinor_florence,21
The Cure for Drowning,Loghan Paylor,TRUE,Fiction,9781039006xxx,2026-05-15,9781039006xxx_the_cure_for_drowning_loghan_paylor,22
A Deadly Episode: A Novel,Anthony Horowitz,FALSE,Fiction,9781443469xxx,2026-05-15,9781443469xxx_a_deadly_episode__a_novel_anthony_horowitz,23
Liberty Street,Heather Marshall,TRUE,Fiction,9780385700xxx,2026-05-15,9780385700xxx_liberty_street_heather_marshall,24
The Calamity Club,Kathryn Stockett,FALSE,Fiction,9780385703xxx,2026-05-15,9780385703xxx_the_calamity_club_kathryn_stockett,25
I Who Have Never Known Men,"Jacqueline Harpman, Ros Schwartz, Sophie Mackintosh",FALSE,Fiction,9781945492xxx,2026-05-15,9781945492xxx_i_who_have_never_known_men_jacqueline_harpman__ros_schwartz__sophi,26
